,acc1,acc5,mean_per_class_recall,dataset,model,pretrained,task,language,mean_average_precision,model_fullname,dataset_type,model_arch
42,0.1081481481481481,0.5305349794238683,0.1076697275653946,vtab/smallnorb_label_elevation,ViT-G/14,bigG_14_v2_sd.pt,zeroshot_classification,en,,ViT-G/14,structured,ViT-bigG-14
43,0.1676666666666666,0.8819333333333333,0.1954414937508546,vtab/clevr_closest_object_distance,ViT-H/14,h_256.pt,zeroshot_classification,,,ViT-H/14,structured,ViT-H-14
44,0.9214,0.9807333333333332,0.9091345505737808,imagenet-r,ViT-G/14,bigG_14_v2_sd.pt,zeroshot_classification,en,,ViT-G/14,natural,ViT-bigG-14
45,0.6957142857142857,0.9571428571428572,0.706242238089474,vtab/resisc45,ViT-H/14,h_256.pt,zeroshot_classification,,,ViT-H/14,specialized,ViT-H-14
46,0.80098,0.96038,0.80098,imagenet1k,ViT-G/14,bigG_14_v2_sd.pt,zeroshot_classification,en,,ViT-G/14,natural,ViT-bigG-14
48,0.2784,0.8929333333333334,0.2563239722391655,vtab/clevr_count_all,ViT-H/14,h_256.pt,zeroshot_classification,,,ViT-H/14,structured,ViT-H-14
49,0.8020816392909416,0.9253537160513904,0.7985485908748879,vtab/flowers,ViT-H/14,h_256.pt,zeroshot_classification,,,ViT-H/14,natural,ViT-H-14
51,0.697049639280715,0.877516959190266,0.6846202591899297,objectnet,ViT-H/14,h_256.pt,zeroshot_classification,,,ViT-H/14,natural,ViT-H-14
52,0.692962962962963,0.9887037037037038,0.692719126092187,vtab/eurosat,ViT-G/14,bigG_14_v2_sd.pt,zeroshot_classification,en,,ViT-G/14,specialized,ViT-bigG-14
54,0.8932,0.9735333333333334,0.8804663010091829,imagenet-r,ViT-H/14,h_256.pt,zeroshot_classification,,,ViT-H/14,natural,ViT-H-14
55,0.6892452199886027,0.8930810194737566,0.6895172549019608,imagenet_sketch,ViT-G/14,bigG_14_v2_sd.pt,zeroshot_classification,en,,ViT-G/14,specialized,ViT-bigG-14
56,0.9824,0.9998,0.9824,vtab/cifar10,ViT-G/14,bigG_14_v2_sd.pt,zeroshot_classification,en,,ViT-G/14,natural,ViT-bigG-14
57,0.53631591796875,,0.53614377703907,vtab/pcam,ViT-H/14,h_256.pt,zeroshot_classification,,,ViT-H/14,specialized,ViT-H-14
58,0.7324818373564566,1.0,0.19999544792947,vtab/diabetic_retinopathy,ViT-G/14,bigG_14_v2_sd.pt,zeroshot_classification,en,,ViT-G/14,specialized,ViT-bigG-14
59,0.985,1.0,0.985,stl10,ViT-G/14,bigG_14_v2_sd.pt,zeroshot_classification,en,,ViT-G/14,natural,ViT-bigG-14
60,0.6787234042553192,0.923936170212766,0.6813829787234043,vtab/dtd,ViT-H/14,h_256.pt,zeroshot_classification,,,ViT-H/14,natural,ViT-H-14
61,0.6358642578125,,0.6359414315265794,vtab/pcam,ViT-G/14,bigG_14_v2_sd.pt,zeroshot_classification,en,,ViT-G/14,specialized,ViT-bigG-14
62,0.0549794238683127,0.2670781893004115,0.0559609415916413,vtab/smallnorb_label_azimuth,ViT-H/14,h_256.pt,zeroshot_classification,,,ViT-H/14,structured,ViT-H-14
63,0.9742,0.9994,0.9742999999999998,vtab/cifar10,ViT-H/14,h_256.pt,zeroshot_classification,,,ViT-H/14,natural,ViT-H-14
64,0.0350884331597222,0.1641574435763889,0.0350524524378498,vtab/dsprites_label_x_position,ViT-G/14,bigG_14_v2_sd.pt,zeroshot_classification,en,,ViT-G/14,structured,ViT-bigG-14
65,0.6861702127659575,0.9308510638297872,0.6867021276595744,vtab/dtd,ViT-G/14,bigG_14_v2_sd.pt,zeroshot_classification,en,,ViT-G/14,natural,ViT-bigG-14
66,0.7163,0.9319,0.7157657461996975,mnist,ViT-G/14,bigG_14_v2_sd.pt,zeroshot_classification,en,,ViT-G/14,specialized,ViT-bigG-14
67,0.6245447347585115,0.8812351543942993,0.599484765590175,gtsrb,ViT-G/14,bigG_14_v2_sd.pt,zeroshot_classification,en,,ViT-G/14,natural,ViT-bigG-14
68,0.0272488064236111,0.1226399739583333,0.0276471426868595,vtab/dsprites_label_orientation,ViT-G/14,bigG_14_v2_sd.pt,zeroshot_classification,en,,ViT-G/14,structured,ViT-bigG-14
69,0.9459022509638104,0.998756373585375,0.9464260383541332,cars,ViT-G/14,bigG_14_v2_sd.pt,zeroshot_classification,en,,ViT-G/14,natural,ViT-bigG-14
70,0.1308016877637131,,0.2251260980261776,vtab/kitti_closest_vehicle_distance,ViT-G/14,bigG_14_v2_sd.pt,zeroshot_classification,en,,ViT-G/14,structured,ViT-bigG-14
71,0.7234920634920635,0.9565079365079364,0.7271206241302793,vtab/resisc45,ViT-G/14,bigG_14_v2_sd.pt,zeroshot_classification,en,,ViT-G/14,specialized,ViT-bigG-14
72,0.4275427542754275,0.8361836183618362,0.4260962566844919,fgvc_aircraft,ViT-H/14,h_256.pt,zeroshot_classification,,,ViT-H/14,natural,ViT-H-14
73,0.6254225568531039,0.9343116164720344,0.5660061999073792,vtab/svhn,ViT-G/14,bigG_14_v2_sd.pt,zeroshot_classification,en,,ViT-G/14,natural,ViT-bigG-14
74,0.1694743787112382,0.8168462722674291,0.1624418923009462,vtab/dmlab,ViT-G/14,bigG_14_v2_sd.pt,zeroshot_classification,en,,ViT-G/14,structured,ViT-bigG-14
75,0.9542109566639412,0.9989097846824748,0.9534650903807462,vtab/pets,ViT-G/14,bigG_14_v2_sd.pt,zeroshot_classification,en,,ViT-G/14,natural,ViT-bigG-14
76,0.7362,0.9286,0.7365,imagenetv2,ViT-G/14,bigG_14_v2_sd.pt,zeroshot_classification,en,,ViT-G/14,natural,ViT-bigG-14
77,0.3000947867298578,0.556872037914692,0.2994312796208531,country211,ViT-H/14,h_256.pt,zeroshot_classification,,,ViT-H/14,natural,ViT-H-14
