acc1,acc5,mean_per_class_recall,dataset,model,pretrained,task,language,image_retrieval_recall@5,text_retrieval_recall@5,mean_average_precision,model_fullname
,,,mscoco_captions,ViT-bigG-14,/fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt,zeroshot_retrieval,en,0.7489804029464722,0.8691999912261963,,ViT-bigG-14 /fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt
0.026068793402777776,0.1259223090277778,0.026833747578537605,vtab/dsprites_label_orientation,ViT-H-14,/fsx/rom1504/open_clip/good_models/h_256.pt,zeroshot_classification,,,,,ViT-H-14 /fsx/rom1504/open_clip/good_models/h_256.pt
0.8504273504273504,0.953155818540434,0.9440706929933657,vtab/caltech101,ViT-H-14,/fsx/rom1504/open_clip/good_models/h_256.pt,zeroshot_classification,,,,,ViT-H-14 /fsx/rom1504/open_clip/good_models/h_256.pt
0.984375,0.999875,0.9849999999999998,stl10,ViT-H-14,/fsx/rom1504/open_clip/good_models/h_256.pt,zeroshot_classification,,,,,ViT-H-14 /fsx/rom1504/open_clip/good_models/h_256.pt
0.11127572016460906,0.5548971193415638,0.1102182875784799,vtab/smallnorb_label_elevation,ViT-H-14,/fsx/rom1504/open_clip/good_models/h_256.pt,zeroshot_classification,,,,,ViT-H-14 /fsx/rom1504/open_clip/good_models/h_256.pt
0.6932,0.8989333333333334,0.6727465177302469,imagenet-a,ViT-bigG-14,/fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt,zeroshot_classification,en,,,,ViT-bigG-14 /fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt
0.23801265526130772,1.0,0.23332081371768804,vtab/diabetic_retinopathy,ViT-H-14,/fsx/rom1504/open_clip/good_models/h_256.pt,zeroshot_classification,,,,,ViT-H-14 /fsx/rom1504/open_clip/good_models/h_256.pt
0.03138563368055555,0.1553955078125,0.030766656498235494,vtab/dsprites_label_x_position,ViT-H-14,/fsx/rom1504/open_clip/good_models/h_256.pt,zeroshot_classification,,,,,ViT-H-14 /fsx/rom1504/open_clip/good_models/h_256.pt
0.14198372553331867,0.8292060699362217,0.16573619863836006,vtab/dmlab,ViT-H-14,/fsx/rom1504/open_clip/good_models/h_256.pt,zeroshot_classification,,,,,ViT-H-14 /fsx/rom1504/open_clip/good_models/h_256.pt
0.1111111111111111,,0.27229299363057324,vtab/kitti_closest_vehicle_distance,ViT-H-14,/fsx/rom1504/open_clip/good_models/h_256.pt,zeroshot_classification,,,,,ViT-H-14 /fsx/rom1504/open_clip/good_models/h_256.pt
0.05646090534979424,0.2740740740740741,0.05755547015574088,vtab/smallnorb_label_azimuth,ViT-bigG-14,/fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt,zeroshot_classification,en,,,,ViT-bigG-14 /fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt
,,,flickr30k,ViT-H-14,/fsx/rom1504/open_clip/good_models/h_256.pt,zeroshot_retrieval,,0.9409999847412109,0.9929999709129333,,ViT-H-14 /fsx/rom1504/open_clip/good_models/h_256.pt
0.5922666666666667,0.8565333333333334,0.5810468077571583,imagenet-a,ViT-H-14,/fsx/rom1504/open_clip/good_models/h_256.pt,zeroshot_classification,,,,,ViT-H-14 /fsx/rom1504/open_clip/good_models/h_256.pt
0.5948732237392031,0.9715798272499303,0.5332338528461845,fer2013,ViT-bigG-14,/fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt,zeroshot_classification,en,,,,ViT-bigG-14 /fsx/rom1504/CLIP_benchmark/benchmark/bigG_14_v2_sd.pt
0.5612707437000615,0.8849492931776275,0.5565312569182044,vtab/svhn,ViT-H-14,/fsx/rom1504/open_clip/good_models/h_256.pt,zeroshot_classification,,,,,ViT-H-14 /fsx/rom1504/open_clip/good_models/h_256.pt
